event_group_id,event_leg_id,issuer_code,issuer_name,sale_route,announce_datetime,needs,disclosure_time,after_close,time_source,pricing_date,offer_price_JPY,OA_exercised_shares,timestamp_hint,source_docs_to_obtain,note
G001,L001,6902,DENSO,secondary_offering,2023-11-29,offering(pricing/offer済)+announce時刻,16:00,TRUE,kabutan,2023-12-13,2069.5,,announce(11/29)の開示時刻は株探/Yahooアーカイブ/nikkei_nkdで未取得,デンソー条件決定PDF(取得済URLあり)+ シンジケートカバー終了,"pricing一次=denso.com PDF(12/13 16:55、引受1984.14、OA38,455,900)。announce時刻→after_close未確定でCARはまだNA / 【転記】株探開示一覧: 2023-11-29 16:00 に『株式の売出し及び主要株主の異動』『政策保有株式の縮減方針』『自己株式取得』を同時開示(A_explicit裏付け)。11-28 16:30 に一部報道(leak) / 【転記2026-07】sold_shares=256,373,400(条件決定PDF: 売出価額530,564,751,300÷2,069.5、引受価額1,984.14で手取508,680,717,876と整合)、OA上限38,455,900。基準価格2,134.0・discount3.02%はs3=0.03069と一致→legs直接"
G002,L001,6201,Toyota Industries,share_forward,2024-03-29,day0のみ(非measurable),,FALSE,,,,,after_close=FALSE既記入,(offering項目N/A),day0解決済。時刻は任意
G003,L001,7259,Aisin,secondary_offering,2024-06-27,pricing日+announce時刻(offer穴),17:30,TRUE,media,2024-07-08,5092,,announce(6/27)時刻未取得。pricing 7/8 16:40はnikkei_nkdで確認済(disclosure_timeはannounce用なので未記入),アイシン条件決定PDF(aisin.com/jp/news/2024、既存URL異常もここで解決)+ シンジケートカバー終了,"offer_price未取得(一次PDF要)。announce after_close未確定でCAR/s3ともNA / 【転記】条件決定PDF(2024-07-08): 売出価格5,092・引受価額4,882・国内26,074,100株(デンソー/豊田織機 各9,983,000・トヨタ6,108,100)・OA5,079,300・引受手取210/株。発表17:30頃はAI概要→株探/nikkeiで要確認。★AI概要が株式分割の同時発表に言及→分割権利落ちが day0〜pricing 窓に入ると s1/s2 に段差。AdjFactor で窓内分割を要確認"
G004,L001,7267,Honda Motor,secondary_offering,2024-07-04,day0(after_close)+pricing日(offer穴),,TRUE,,2024-07-17,1664.5,,4日引け後発表+7/2リーク報道→after_close=TRUE(一次global.honda)。announce時刻の分単位は未取得,Honda条件決定PDF(c240717)+ シンジケートカバー終了のお知らせ(8月中旬),"手計算突合対象。after_close=TRUEでday0=2024-07-08解決。offer_price未取得→s3はまだNA。OA上限38,981,900、実績は一次で / 【転記】条件決定PDF(2024-07-17): 売出価格1,664.5・引受1,613.02・算定基準日7/17基準1,716.0・discount3.00%・申込7/18-19・受渡7/24・OA38,981,900・買取引受259,879,700(海外47,772,300)"
G005,L001,8154,Kaga Electronics,toSTNeT_3,2025-08-07,day0のみ(offer既知),17:00,TRUE,kabutan,,,,announce(8/7)時刻を株探/Yahooで,(offer=前日終値2938既知),"取得結果はbuyback_result legで別途(taxan.co.jp IR一覧) / 【転記2026-07】disclosure_time=17:00(株探決算速報 k202508070418: 8/7大引け後17:00に決算+自己株取得を発表)、after_close=TRUE、time_source=kabutan。offer=前日終値2,938既知→toSTNeT_3 leg は degenerate 計算(day0=8/8)"
G006,L001,3950,The Pack,secondary_offering,2025-08-29,pricing/offer済+announce時刻,17:00,TRUE,nikkei_nkd,2025-09-08,1099,,announce(8/29)開示ミラーあり(nikkei_nkd)→時刻取得可。pricing 9/8 17:00確認済,ザ・パック条件決定PDF + シンジケートカバー終了,discount 3.09%(仮条件3.0-5.0)、受渡9/16、BR三菱UFJMS。買付停止パターン。announce after_close確定でCAR着手可 / 【転記2026-07】disclosure_time=17:00(IRStreet/日経ミラーのAI概要。分の精度は生ミラー要確認だが after_close=TRUE はロバスト)。pricing/offer既済→s1/s2/s3 立つ
G007,L001,4246,Daikyo Nishikawa,secondary_offering,2026-01-07,【訂正】announce=1/07。pricing/offer投入,16:05,TRUE,nikkei_nkd,2026-01-19,824,,announce=2026-01-07(訂正済)。時刻は株探/Yahooで。pricing=1/19,発行体1/7発表PDF(daikyonishikawa.co.jp/ir/)★穴 + 条件決定PDF + シンジケートカバー終了,"offer=824(旧789.28は引受価額)。discount 5.1%=帯外(需要弱)。発行体一次PDFが最優先の穴 / 【転記2026-07】disclosure_time=16:05(IRBANK=日経テレコン、分精度)。sold_shares=11,625,200(1/7発表PDF、6売出人内訳合計=3,550,000+3,222,700+2,637,300+1,115,200+550,000+550,000)、OA上限1,743,700→legs直接。offer824/discount5.1%は3%クラスタの外れ値(帯外=需要弱)"
G008,L001,7974,Nintendo,secondary_offering,2026-02-27,pricing/offer投入→s1/s2/s3 立つ,15:40,TRUE,kabutan,2026-03-09,8347,,disclosure_time=15:40/after_close=TRUE既(day0=2026-03-02)。15:40の出所を一次で記録要(→check ERROR),任天堂条件決定PDF(3/9)+ シンジケートカバー終了,"pricing 3/9、offer=8347、close8606比 discount 3.01%(引受8002.76)。final_offer_shares=23,665,300(初期32,697,900)、OA上限4,904,600は一次で / 【転記2026-07】time_source=kabutan(株探marketnews n202602270960: 2026-02-27 15時40分『自己株式取得及び消却』フラッシュ)→15:40のtime_source ERROR解消"
G009,L001,4063,信越化学,secondary_offering,,一次資料未取得(全項目),,,,,,,報道のみ→一次PDF先,announcement/条件決定PDF一式,Tier2候補
G010,L001,4062,イビデン,secondary_offering,,一次資料未取得(全項目),,,,,,,報道のみ→一次PDF先,announcement/条件決定PDF一式,Tier2候補
G011,L001,2871,ニチレイ,secondary_offering,,一次資料未取得(全項目),,,,,,,報道のみ→一次PDF先,announcement/条件決定PDF一式,Tier2候補
